badid;bad;adresse1;adresse2;plz;ort;kanton;beckenid;becken;typ;Latitude;Longitude;returned address;accuracy;status code
120;Schwimm- und Sonnenbad;Schwimmbad Wengen;Waldbort;3823;Wengen;BE;278;Schwimmbecken;Freibad;46.606508;7.92515;Waldbort, 3823 Lauterbrunnen, Schweiz;5;200
139;Freibad Meierwiesen;Schwimmbad;Meierwiesen;8620;Wetzikon;ZH;313;Schwimmbecken;Freibad;47.31601;8.80236;Meierwiesen, 8620 Wetzikon, Schweiz;5;200
164;Freibad;;Freibad;8542;Wiesendangen;ZH;343;Schwimmbecken;Freibad;47.527821;8.789205;Schwimmbadstrasse, 8542 Wiesendangen, Schweiz;5;200
158;Schwimmbad Weierwise;Schwimmbad Weierwise;Weiserwisenstrasse 4;9500;Wil;SG;336;Schwimmbecken;Freibad;47.463562;9.04791;Wil, Schweiz;3;200
157;Schwimmbad Bergholz;Schwimmbad Bergholz;Wilenstrasse 40a;9500;Wil;SG;335;Schwimmbecken;Freibad;47.457767;9.037766;Wilenstrasse 40A, 9500 Wil, Schweiz;9;200
162;Freibad Wolfensberg;;Freibad Wolfensberg;8400;Winterthur;ZH;341;Schwimmbecken;Freibad;47.485687;8.729292;8400 Winterthur, Schweiz;3;200
160;Freibad Oberwinterthur;Badi Oberi;Mooswiesenweg 44;8404;Winterthur;ZH;339;Schwimmbecken;Freibad;47.5144;8.760797;Mooswiesenweg 44, 8404 Winterthur, Schweiz;9;200
15;Schwimmbad;Sportzentrum Worb AG;Sportweg 10;3076;Worb;BE;46;Schwimmbecken;Freibad;46.926118;7.562607;Sportweg 10, 3076 Worb, Schweiz;9;200
96;Schwimmbad Fohrbach;;Schwimmbad Fohrbach;8702;Zollikon;ZH;225;Schwimmbecken (50m);Freibad;47.341222;8.584427;8702 Zollikon, Schweiz;3;200
113;Sportzentrum;Sportzentrum Zuchwil;Amselweg 59;4528;Zuchwil;SO;263;Schwimmerbecken (50m);Freibad;47.215438;7.557095;Amselweg 59, 4528 Zuchwil, Schweiz;9;200
177;Strandbad;Strandbad Zug;Chamer Fussweg 13;6300;Zug;ZG;369;Zugersee;See;47.175102;8.502344;Chamer Fussweg 13, 6300 Zug, Schweiz;9;200
14;Zürichsee;;Tiefenbrunnen;8000;Zürich;ZH;43;Tiefenbrunnen;See;47.267132;8.675929;Tiefenbrunnenweg, 8707 Uetikon am See, Schweiz;5;200
79;Freibad Auhof;Luegislandstrasse 160;Luegislandstrasse 160;8051;Zürich;ZH;197;Schwimmer (50m);Freibad;47.408666;8.571351;Luegislandstrasse 160, 8051 Zürich, Schweiz;9;200
76;Freibad Seebach;;Freibad Seebach;8000;Zürich;ZH;193;Schwimmbecken;Freibad;47.444646;8.581023;Schwimmbadstrasse, 8302 Kloten, Schweiz;5;200
130;Dolder Bad;Dolder Sports;Adlisbergstrasse 36;8044;Zürich;ZH;297;Schwimmbecken;Freibad;47.37561;8.57674;Adlisbergstrasse 36, 8044 Zürich, Schweiz;9;200
115;Lido;;Lido;6000;Luzern;TI;266;Schwimmbecken;Freibad;47.051446;8.338252;Lidostrasse, 6006 Luzern, Schweiz;5;200
